masa_id,codigo_masa,producto_masa_id,producto_codigo,producto_nombre,unidades_pedidas,upq,multiplo_divisor,panesSugeridosRaw,panesSugeridosAjustado,cantidad_divisiones,multiplicador,categorias
1929,MASA-OV-20260814-011-D,6374,PANPAQ154,"PAN TOSCANO RECTANGULAR GRA",9,1,10,9,10,10,1.0000,SUBDIVISION+MULTIPLO_DIVISOR
1929,MASA-OV-20260814-011-D,6375,PANPAQ158,"PAN TOSCANO CUP MED X4",8,4,20,32,40,40,1.0000,SUBDIVISION+MULTIPLO_DIVISOR
1940,MASA-OV-20260817-008-ADICIONAL,6396,PANPAQ33,"PAN AVENA ROLLES X2",37,2,2,74,74,84,1.1351,ADICIONAL+MULTIPLO_DIVISOR
1940,MASA-OV-20260817-008-ADICIONAL,6397,PANPAQ34,"PAN AVENA ROLLES X20 CONG",17,20,20,340,340,420,1.2353,ADICIONAL+MULTIPLO_DIVISOR
1944,MASA-OV-20260818-003,6402,PANPAQ04,"PAN ARABE JUNIOR X 4",3,4,1,12,12,20,1.6667,SIN_CATEGORIA
1944,MASA-OV-20260818-003,6403,PANPAQ07,"PAN ARABE SUB X 4 CONG",80,4,1,320,320,328,1.0250,SIN_CATEGORIA
1944,MASA-OV-20260818-003,6404,PANPAQ26,"PAN ARTELLANO MED X 4 CONG",110,4,0,440,440,448,1.0182,SIN_CATEGORIA
1952,MASA-OV-20260818-011,6425,PANPAQ10,"PAN ARABE CUADRADO X10",1,10,20,10,20,40,2.0000,MULTIPLO_DIVISOR
1952,MASA-OV-20260818-011,6426,PANPAQ03,"PAN ARABE CUADRADO X10 CONG",3,10,20,30,40,60,1.5000,MULTIPLO_DIVISOR
1961,MASA-OV-20260818-020,6445,PASPAQ05,"TARTANA AMAPOLA",23,1,1,23,23,25,1.0870,SIN_CATEGORIA
1969,MASA-OV-20260818-003-A,6458,PANPAQ26,"PAN ARTELLANO MED X 4 CONG",110,4,0,440,440,448,1.0182,SUBDIVISION
1969,MASA-OV-20260818-003-A,6459,PANPAQ07,"PAN ARABE SUB X 4 CONG",76,4,1,304,304,312,1.0263,SUBDIVISION
1971,MASA-OV-20260818-055,6462,PANPAQ186,"PAN BRIOCHE MOLDE GRA CONG",100,1,10,100,100,110,1.1000,MULTIPLO_DIVISOR
1975,MASA-OV-20260819-003,6470,GTAPAQ02,"GALLETTA CHOCOLATE CHUNKS",20,1,1,20,20,22,1.1000,SIN_CATEGORIA
1988,MASA-OV-20260819-016,6493,PANPAQ217,"PAN DE SEMILLAS CON MASA MADRE GRANDE",2,1,10,2,10,10,1.0000,MULTIPLO_DIVISOR
1989,MASA-OV-20260819-017,6494,PANPAQ76,"PAN GOLD HAMBURGUESA 9 CM X6 CONG",6,6,1,36,36,48,1.3333,SIN_CATEGORIA
1992,MASA-OV-20260819-020,6497,PASPAQ06,"TARTANA FRUTOS ROJOS",90,1,0,90,90,92,1.0222,SIN_CATEGORIA
2010,MASA-OV-20260820-018,6530,PANPAQ186,"PAN BRIOCHE MOLDE GRA CONG",4,1,10,4,10,10,1.0000,MULTIPLO_DIVISOR
2038,MASA-OV-20260820-021,6573,PANPAQ26,"PAN ARTELLANO MED X 4 CONG",80,4,1,320,320,328,1.0250,SIN_CATEGORIA
2038,MASA-OV-20260820-021,6574,PANPAQ67,"PAN ARABE HAMBURGUESA GRA X 3",30,3,1,90,90,96,1.0667,SIN_CATEGORIA
2038,MASA-OV-20260820-021,6575,PANPAQ06,"PAN ARABE SUB X 4",4,4,1,16,16,24,1.5000,SIN_CATEGORIA
2048,MASA-OV-20260820-031,6598,PASPAQ06,"TARTANA FRUTOS ROJOS",50,1,1,50,50,52,1.0400,SIN_CATEGORIA
